product_id;name;brand;description;price;sizes;image_url;stock_quantity;category;colors_general
KVP001;Baskets Adidas Unisexe Predator Sala Zero Metallic; Adidas;Découvrez l’alliance parfaite entre style intemporel et innovation avec ces baskets signées Adidas. Conçues pour répondre aux exigences des amateurs de sport comme des passionnés de mode, elles séduisent par leur design moderne et leurs finitions soignées. Leur dessus en matière synthétique assure légèreté et respirabilité, tandis que la doublure textile procure un confort durable tout au long de la journée. La semelle extérieure en caoutchouc offre une adhérence optimale sur différentes surfaces, idéale pour les activités sportives ou un usage quotidien. Grâce à la fermeture à lacets et à la languette repliable, ces baskets épousent parfaitement la forme du pied pour un maintien sécurisé. Le contrefort externe garantit une stabilité accrue lors des mouvements rapides. Les célèbres bandes et le logo emblématique soulignent l’héritage sportif de la marque. Convient à tous, ce modèle se distingue par son équilibre entre performance, élégance et confort, faisant de ces baskets un choix incontournable pour ceux qui recherchent la qualité et le style au quotidien.;120;"[""37 1/3"", ""38 2/3"", ""39 1/3"", ""40 2/3"", ""41 1/3"", ""42 2/3"", ""43 1/3"", ""44 2/3"", ""45 1/3"", ""38"", ""40""]";https://cdn.etrias.nl/media/cache/product_thumb_md/a/d/adidas_unisex_predator_sala_zero_metallic_core_black_gum_7.jpg;1;Unisexe;['rouge', 'noir']
KVP002;Baskets Adidas Enfant Predator Sala Zero Metallic; Adidas;Découvrez des baskets qui allient à la perfection performance sportive et style moderne, idéales pour les jeunes passionnés de football souhaitant se démarquer aussi bien sur le terrain qu’en dehors. Conçues avec un dessus en matière synthétique de haute qualité et une doublure textile, elles offrent un confort optimal tout au long de la journée. La fermeture à lacets assure un maintien parfait, tandis que la languette repliable ornée du célèbre logo apporte une touche rétro unique. Grâce au contrefort externe au talon, chaque pas bénéficie d’un soutien supplémentaire, essentiel pour les activités intenses en salle. La semelle extérieure en caoutchouc non marquante garantit une excellente adhérence sans laisser de traces, répondant ainsi aux exigences des environnements indoor. Ce modèle séduit par sa couleur Zero Metallic / Core Black / Cloud White, apportant une note élégante et dynamique à chaque tenue. Issu de la marque Adidas, reconnue mondialement pour son innovation et la qualité de ses produits, ce modèle est un choix incontournable pour les enfants à la recherche de performance, de durabilité et de style. Offrez-leur une expérience unique où chaque mouvement rime avec confiance et distinction.;90;"[""36 2/3"", ""37 1/3"", ""38 2/3"", ""39 1/3"", ""35,5"", ""36"", ""38"", ""40""]";https://cdn.etrias.nl/media/cache/product_thumb_md/a/d/adidas_junior_predator_sala_zero_metallic_core_black_cloud_white_8.jpg;10;Enfant;['rouge', 'noir', 'blanc']
KVP003;Baskets Adidas Unisexe Samba LT Legend Earth; Adidas;Découvrez l’alliance parfaite entre héritage sportif et modernité avec ces baskets signées par la marque Adidas. Arborant une couleur élégante « Legend Earth » rehaussée de touches métalliques argentées et d’une semelle en gomme, ce modèle séduit par son esthétique raffinée et intemporelle. La matière principale, un cuir souple de qualité supérieure, assure une grande durabilité tandis que la doublure synthétique offre un confort optimal tout au long de la journée. Inspirée des chaussures de football vintage, la languette repliable et les lignes de couture apportent une touche rétro qui rappelle les classiques du passé, tout en s’intégrant parfaitement à une garde-robe contemporaine. La semelle extérieure en caoutchouc garantit une adhérence fiable sur toutes les surfaces, idéale pour une utilisation quotidienne. Grâce à la fermeture à lacets, chaque utilisateur bénéficie d’un ajustement personnalisé et sécurisé. Ces baskets conviennent aussi bien aux hommes qu’aux femmes, ce qui en fait un choix polyvalent pour toutes les occasions. Opter pour ce modèle, c’est choisir la combinaison parfaite entre style, confort et qualité, fidèle à la réputation d’Adidas. Ajoutez une touche d’authenticité et de performance à votre look avec ce classique revisité, pensé pour ceux qui recherchent l’excellence à chaque pas.;130;"[""36 2/3"", ""37 1/3"", ""38 2/3"", ""39 1/3"", ""40 2/3"", ""41 1/3"", ""42 2/3"", ""43 1/3"", ""44 2/3"", ""45 1/3"", ""36""]";https://cdn.etrias.nl/media/cache/product_thumb_md/a/d/adidas_unisex_samba_lt_legend_earth_silver_metallic_gum_8.jpg;26;Unisexe;['noir', 'argent']
KVP004;Baskets Adidas Homme Montreal RM Collegiate Green; Adidas;Découvrez l’alliance parfaite entre héritage sportif et modernité avec ces baskets signées par la marque Adidas. Conçues pour les hommes exigeants, elles se distinguent par leur élégance intemporelle et leur qualité supérieure. Leur dessus en cuir offre une allure raffinée, tandis que la doublure synthétique assure un confort optimal tout au long de la journée. La semelle extérieure en caoutchouc garantit une durabilité exceptionnelle et une adhérence fiable sur toutes les surfaces. Les célèbres 3-Stripes sur les côtés et le logo Trefoil sur la languette et le talon soulignent le caractère authentique de la marque. Un marquage en feuille d’or ajoute une touche de sophistication discrète. Inspirées d’un modèle iconique des années 70, ces baskets incarnent un équilibre idéal entre fonctionnalité et style. Leur fermeture à lacets permet un ajustement précis, répondant ainsi aux attentes des amateurs de mode et de confort. Parfaites pour compléter une garde-robe masculine, elles séduisent par leur couleur distinctive Collegiate Green / Cloud White / Core Black. Optez pour une paire qui traverse les tendances et affirmez votre passion pour la mode et la performance avec ce modèle incontournable d’Adidas.;110;"[""40 2/3"", ""41 1/3"", ""42 2/3"", ""43 1/3"", ""44 2/3"", ""45 1/3"", ""46 2/3"", ""40"", ""42"", ""44"", ""46""]";https://cdn.etrias.nl/media/cache/product_thumb_md/a/d/adidas_men_montreal_rm_collegiate_green_cloud_white_core_black_6.jpg;24;Homme;['vert', 'noir', 'blanc']
KVP005;Baskets Adidas Femme Handball Spezial Lucid Blue; Adidas;Découvrez l’élégance intemporelle associée au confort moderne avec cette paire de baskets signée par la marque Adidas. Inspirée du style rétro des années 70, cette création séduit par sa silhouette iconique et ses détails raffinés, dont les fameuses 3-Stripes et le marquage doré sur le côté. La matière en cuir véritable assure une allure sophistiquée et une durabilité optimale, tandis que la doublure textile offre un bien-être incomparable au quotidien. Sa semelle extérieure en caoutchouc garantit une excellente adhérence et une grande résistance à l’usure, idéale pour accompagner chaque pas avec style. La combinaison de couleurs vives – bleu, rose et une touche de lime – apporte une note dynamique et unique à toutes vos tenues, faisant de ce modèle un incontournable pour les amateurs de mode vintage. Conçue à l’origine pour la performance sur le terrain de handball, cette basket s’est imposée comme un classique incontournable dans l’univers du streetwear. Convenant aux femmes, elle allie parfaitement héritage sportif et tendance contemporaine. Adoptez un modèle emblématique qui enrichira votre collection et affirmez votre goût pour l’authenticité et la qualité d’Adidas.;110;"[""36 2/3"", ""37 1/3"", ""38 2/3"", ""39 1/3"", ""40 2/3"", ""41 1/3"", ""36"", ""38"", ""40"", ""42""]";https://cdn.etrias.nl/media/cache/product_thumb_md/a/d/adidas_women_handball_spezial_lucid_blue_lime_burst_lucid_pink_6.jpg;0;Femme;['rose', 'bleu']
KVP006;Baskets Adidas Femme Handball Spezial Lucid Pink; Adidas;Découvrez l’alliance parfaite entre héritage sportif et style contemporain avec ces baskets signées Adidas. Issues d’un design iconique des années 70, revisité avec une touche des années 90, elles séduisent par leur silhouette rétro et leurs couleurs vibrantes : Lucid Pink, Collegiate Purple et Almost Yellow. La matière supérieure en cuir offre une allure premium et assure une durabilité remarquable, tandis que la doublure textile garantit un confort optimal au quotidien. La semelle extérieure en caoutchouc procure une adhérence flexible, idéale pour accompagner chaque mouvement. Les fameuses 3-Stripes et le détail doré sur le côté soulignent le caractère intemporel de ce modèle, symbole de la marque légendaire Adidas. Grâce à une fermeture à lacets ajustable, ces baskets s’adaptent parfaitement à la morphologie du pied. Conçues pour les femmes qui apprécient la qualité, l’authenticité et la mode urbaine, elles constituent un choix incontournable pour enrichir toute collection de chaussures. Adoptez un look casual et sophistiqué, tout en bénéficiant du savoir-faire reconnu d’Adidas, leader mondial du sport et du lifestyle.;110;"[""36 2/3"", ""37 1/3"", ""38 2/3"", ""39 1/3"", ""40 2/3"", ""41 1/3"", ""36"", ""38"", ""40"", ""42""]";https://cdn.etrias.nl/media/cache/product_thumb_md/a/d/adidas_women_handball_spezial_lucid_pink_collegiate_purple_almost_yellow_7.jpg;13;Femme;['rose', 'violet', 'jaune']
KVP007;Baskets Adidas Homme Handball Spezial Focus Olive; Adidas;Découvrez l’alliance parfaite entre héritage sportif et style contemporain avec ces baskets signées Adidas. Inspirées des modèles emblématiques des années 70, elles séduisent par leur élégante palette de couleurs Focus Olive, Fox Brown et Gum, offrant une touche sophistiquée à toutes vos tenues. Leur dessus en cuir premium assure une allure raffinée et une grande durabilité, tandis que la doublure synthétique garantit un confort optimal tout au long de la journée. La semelle extérieure en caoutchouc robuste procure une excellente adhérence, que ce soit en ville ou lors de vos activités sportives. Les célèbres 3-Stripes sur le côté et le branding distinctif sur la languette témoignent de l’authenticité et du savoir-faire de la marque Adidas. Grâce à leur système de laçage précis, ces baskets s’ajustent parfaitement à votre pied pour un maintien sur-mesure. Parfaitement adaptées aux hommes à la recherche d’une basket polyvalente, elles incarnent à la fois l’histoire, la qualité et le confort. Optez pour un modèle intemporel qui traverse les tendances et affirmez votre style avec une pièce incontournable de la collection Adidas.;110;"[""40 2/3"", ""41 1/3"", ""42 2/3"", ""43 1/3"", ""44 2/3"", ""45 1/3"", ""46 2/3"", ""40"", ""42"", ""44"", ""46""]";https://cdn.etrias.nl/media/cache/product_thumb_md/a/d/adidas_men_handball_spezial_focus_olive_fox_brown_gum_12.jpg;19;Homme;['noir', 'marron']
KVP008;Baskets Adidas Femme Gazelle Indoor Pure Teal; Adidas;Découvrez une paire de baskets qui incarne parfaitement l’alliance entre l’élégance rétro et l’innovation moderne. Avec sa couleur Pure Teal rehaussée de touches Off White et Gold Metallic, ce modèle séduit par son esthétique audacieuse et raffinée. La marque Adidas, reconnue mondialement pour son savoir-faire et son souci du détail, propose ici une chaussure dont le dessus en cuir et en matières synthétiques assure durabilité et style. La présence des emblématiques 3-Stripes et du logo doré sur le côté souligne l’authenticité et l’héritage sportif du modèle, tandis que la semelle cupsole en caoutchouc garantit une adhérence fiable au quotidien. La doublure synthétique et textile offre un confort optimal, même lors d’une utilisation prolongée. Initialement conçue pour l’entraînement en intérieur, cette basket est aujourd’hui un incontournable de la mode urbaine, idéale pour les femmes à la recherche d’une touche sportive et sophistiquée. Parfaite pour compléter aussi bien une tenue décontractée qu’un look plus travaillé, elle séduira celles qui souhaitent affirmer leur style tout en bénéficiant de la qualité et du confort légendaires d’Adidas. Convient à toutes celles qui veulent conjuguer performance, élégance et modernité dans une seule paire de baskets.;120;"[""36 2/3"", ""37 1/3"", ""38 2/3"", ""39 1/3"", ""40 2/3"", ""36"", ""38"", ""40""]";https://cdn.etrias.nl/media/cache/product_thumb_md/a/d/adidas_women_gazelle_indoor_pure_teal_off_white_gold_metallic_7.jpg;21;Femme;['menthol', 'or', 'bleu', 'blanc']
KVP009;Baskets Adidas Femme Gazelle Bold Ash Green; Adidas;Offrant une alliance parfaite entre héritage et modernité, cette paire de baskets pour femmes séduit par son design rétro inspiré des modèles iconiques des années 70. La marque Adidas propose ici une création raffinée, dotée d’un dessus en cuir et matières synthétiques, dans une élégante combinaison de couleurs Ash Green, Off White et Gum. Les célèbres 3 bandes, accompagnées de l’inscription dorée sur le côté, témoignent de l’authenticité et du prestige de la marque. La doublure synthétique assure un confort optimal tout au long de la journée, tandis que la semelle extérieure en gomme garantit une excellente adhérence et une durabilité remarquable. La fermeture à lacets permet un ajustement personnalisé, et le détail bijou sur le talon apporte une touche d’originalité. Convient à toutes celles qui recherchent un style intemporel sans compromis sur la qualité. Ces baskets incarnent l’esprit d’innovation et d’excellence d’Adidas, et s’imposent comme un choix incontournable pour compléter une garde-robe sophistiquée et tendance.;120;"[""35 1/3"", ""36 2/3"", ""37 1/3"", ""38 2/3"", ""39 1/3"", ""40 2/3"", ""41 1/3"", ""36"", ""38"", ""40"", ""42""]";https://cdn.etrias.nl/media/cache/product_thumb_md/a/d/adidas_women_gazelle_bold_ash_green_off_white_gum_16.jpg;5;Femme;['vert', 'noir', 'blanc']
KVP010;Baskets Adidas Femme Gazelle Bold Trace Brown; Adidas;Découvrez l’alliance parfaite entre le style rétro et le confort moderne avec cette paire de baskets signée Adidas. Conçue pour les femmes à la recherche d’une touche d’originalité, cette chaussure séduit par sa couleur raffinée Trace Brown, rehaussée de détails Clear Pink et Earth Strata, offrant une esthétique unique et polyvalente. La matière du dessus, mêlant cuir et synthétique, assure une grande durabilité tout en conservant une allure élégante. La triple semelle plateforme en caoutchouc apporte une hauteur supplémentaire et un effet tendance, idéal pour celles qui souhaitent affirmer leur style. Les célèbres 3-Stripes et le logo doré sur le côté témoignent de l’authenticité et du savoir-faire de la marque Adidas, référence mondiale en matière de baskets. La fermeture à lacets garantit un ajustement parfait, tandis que la doublure textile et synthétique offre un confort optimal tout au long de la journée. Inspirée d’un modèle emblématique de 1971, cette basket s’adresse aux femmes qui aiment marier héritage sportif et mode contemporaine. Polyvalente, elle s’adapte aussi bien à un look décontracté qu’à une tenue plus sophistiquée. Optez pour une basket qui allie qualité, confort et design intemporel, et faites la différence à chaque pas.;120;"[""35 1/3"", ""36 2/3"", ""37 1/3"", ""38 2/3"", ""39 1/3"", ""40 2/3"", ""41 1/3"", ""36"", ""38"", ""40"", ""42""]";https://cdn.etrias.nl/media/cache/product_thumb_md/a/d/adidas_women_gazelle_bold_trace_brown_clear_pink_earth_strata_7.jpg;23;Femme;['marron', 'rose']
